id,name,manufacturer,manufacturer_type,active_ingredient,cost,medicine_type,quantity
58322,Dologel,Dr Reddy's Laboratories Ltd,Branded,"Choline Salicylate (8.7% w/w), Lidocaine (2% w/w)",99.25,gel,15
58523,Dolo Drops,Micro Labs Ltd,Branded,Paracetamol (100mg/ml),30.07,drops,15
59308,Dolonex Gel,Pfizer Ltd,Branded,Piroxicam (0.5% w/w),79.75,gel,15
59541,Dolowin Gel,Micro Labs Ltd,Branded,Aceclofenac (NA),102.0,gel,30
65976,Dolophob Gel,Zydus Cadila,Branded,"Heparin (200IU), Diclofenac (1% w/w)",115.0,gel,20
58786,Dolo-T Tablet,Micro Labs Ltd,Branded,"Tramadol (37.5mg), Paracetamol (325mg)",113.0,tablet,10
59412,Dolopar Drops,Micro Labs Ltd,Branded,Paracetamol (100mg/ml),30.07,drops,15
111983,Ibudolo Tablet,Seamac Formulations Pvt Ltd,Branded,"Ibuprofen (400mg), Paracetamol (500mg)",13.0,tablet,10
59617,Dologen Tablet,Zerico Lifesciences Pvt Ltd,Branded,"Tramadol (37.5mg), Paracetamol (325mg)",65.0,tablet,10
58775,Dolowin Tablet,Micro Labs Ltd,Branded,Aceclofenac (100mg),55.0,tablet,10
58730,Dolonat Tablet,Pfizer Ltd,Branded,"Paracetamol/Acetaminophen  (325mg), Tramadol (37.5mg)",71.39,tablet,10
64448,Dolonol Tablet,Overseas Pharma Pvt Ltd,Branded,"Caffeine (25mg), Paracetamol (325mg)",34.3,tablet,10
60670,Dolokoff Syrup,Micro Labs Ltd,Branded,"Chlorpheniramine Maleate (4mg), Codeine (10mg)",61.5,syrup,100
60776,Dolonac Tablet,Baroque Pharmaceuticals Pvt Ltd,Branded,Diclofenac (50mg),21.5,tablet,10
64483,Dolopee Tablet,Agron Remedies Pvt Ltd,Branded,"Diclofenac (50mg), Paracetamol (325mg)",4.26,tablet,10
58717,Dolobak Tablet,Micro Labs Ltd,Branded,"Tramadol (37.5mg), Paracetamol (325mg)",113.0,tablet,10
58302,Dologel-CT Gel,Dr Reddy's Laboratories Ltd,Branded,"Choline Salicylate (8.7% w/w), Lidocaine (2% w/w)",93.75,gel,10
59378,Dolocold Syrup,Micro Labs Ltd,Branded,"Chlorpheniramine Maleate (1mg), Paracetamol (125mg)",38.0,syrup,60
62093,Dolomec Tablet,McW Healthcare,Branded,"Ibuprofen (400mg), Methionine (50mg)",8.43,tablet,10
58704,Dolozox Tablet,Micro Labs Ltd,Branded,"Chlorzoxazone (250mg), Diclofenac (50mg)",65.8,tablet,10
